"province","drain_basin","river_section","time","quality_type","temperature","pH","oxygen","conductivity","turbidity_ntu","permanganate_index","ammonia_nitrogen","total_phosphate","total_nitrogen","chl_a","algae_density","site_state"
"天津市","海河流域","阎辛庄","2020-05-08 15:00:00","劣Ⅴ",15.4,7.7,1.4,3028.5,21.7,10.77,0.807,0.299,"2.36",,,"正常"
"天津市","海河流域","齐家务","2020-05-08 15:00:00","Ⅴ",18.2,8.5,5.95,9977.6,29.1,11.32,0.156,0.133,"1.81",,,"正常"
"天津市","海河流域","团瓢桥","2020-05-08 15:00:00","劣Ⅴ",18.5,8.23,10.76,11596.7,43.6,17.66,1.658,0.183,"2.43",,,"正常"
"天津市","海河流域","于桥水库库中心","2020-05-08 15:00:00","劣Ⅴ",16.3,9.46,10.79,466.4,1.2,4.24,0.038,0.03,"1.68",0.003,,"维护"
"天津市","海河流域","于桥水库出口","2020-05-08 15:00:00","劣Ⅴ",18.6,9.01,9.74,435.7,5.5,2.36,0.009,0.002,"1.41",,,"正常"
"天津市","海河流域","黎河桥","2020-05-08 15:00:00","Ⅱ",19.1,7.54,6.87,531.4,35.8,2.93,0.038,0.038,"2.45",,,"正常"
"天津市","海河流域","沙河桥","2020-05-08 15:00:00","Ⅱ",19.4,8.53,12.39,732.4,6.5,3.06,0.083,0.04,"7.99",,,"正常"
"天津市","海河流域","果河桥","2020-05-08 12:00:00","Ⅱ",19.5,8.47,10.44,607.2,4.9,2.46,0.05,0.029,"3.92",,,"正常"
"天津市","海河流域","淋河桥","2020-04-07 16:00:00",,11.4,7.81,10.98,611.1,1945.1,3.13,,0.319,"23.64",,,"维护"
"天津市","海河流域","西屯桥","2020-05-08 15:00:00","Ⅱ",20.2,8.43,7.61,535.2,22.8,3.3,0.036,0.046,"1.20",,,"正常"
"河北省","海河流域","岗南水库","2020-05-08 12:00:00","Ⅱ",19.9,8.31,9.52,551.6,1.4,2,0.08,0.021,"2.36",,,"维护"
"河北省","海河流域","下槐镇","2020-04-21 14:24:00",,24.2,8.26,6.85,730.8,137.2,3.2,,0.077,"2.77",,,"维护"
"河北省","海河流域","地都","2020-05-08 12:00:00","Ⅱ",17.9,8.03,8.55,1190.6,17.7,1.36,0.143,0.038,"4.69",,,"正常"
"河北省","海河流域","平山桥","2020-05-08 15:00:00","Ⅱ",18.2,7.96,8.02,1077.9,10,2,0.398,0.07,"6.13",,,"正常"
"河北省","海河流域","兆通","2020-05-08 15:00:00",,20.7,8.39,9.57,290.7,5.2,1.75,,0.015,"0.91",,,"维护"
"河北省","海河流域","大石桥","2020-05-08 14:00:00","劣Ⅴ",18.1,7.81,4.9,1022,394.8,19.08,6.155,1.561,"17.60",,,"正常"
"河北省","海河流域","大黑汀水库","2020-05-08 15:00:00","Ⅰ",12,8.44,13.45,535.8,3.6,1.71,0.001,0.003,"3.37",,,"正常"
"河北省","海河流域","涧河口","2020-05-08 15:00:00","劣Ⅴ",16,9.01,7.49,6059.3,82.8,12.49,0.144,0.257,"4.31",,,"正常"
"河北省","海河流域","丰北闸","2020-05-06 14:00:00",,22.7,8.76,6.78,1045.2,8.1,6.31,0.153,0.467,"1.43",,,"停站"
"河北省","海河流域","滦县大桥","2020-05-08 15:00:00","Ⅱ",16.6,7.85,8.23,495.3,15.8,1.56,0.003,0.045,"3.56",,,"正常"
"河北省","海河流域","姜各庄","2020-09-09 09:00:00",,25.8,7.49,0.03,,69.8,0,,0,"0",,,"维护"
"河北省","海河流域","戴河口","2020-05-08 15:00:00",,16.9,8.56,10.64,750.5,18.8,3.15,,0.064,"1.80",,,"维护"
"河北省","海河流域","田庄子","2020-05-08 15:00:00","Ⅰ",13,8.4,10.44,437.6,11.4,1.49,0.018,0,"3.59",,,"正常"
"河北省","海河流域","石河口","2020-05-08 15:00:00","Ⅱ",17.5,8.87,10.97,648.9,20.5,2.41,0.018,0.052,"1.75",,,"正常"
"河北省","海河流域","汤河口","2020-05-08 15:00:00","Ⅱ",16.8,7.64,8.33,1003.4,8,2.18,0.087,0.065,"2.21",,,"正常"
"河北省","海河流域","洋河口","2020-05-08 15:00:00","Ⅱ",17.6,8.67,11.08,689.6,17.2,2.58,0.011,0.055,"1.82",,,"正常"
"河北省","海河流域","饮马河口","2020-05-08 15:00:00","Ⅳ",16.1,7.68,7.06,23310.6,16.7,5.53,0.576,0.254,"2.67",,,"正常"
"河北省","海河流域","新开河口","2020-05-08 15:00:00","Ⅲ",25.6,6.74,6.16,34867.3,7,2.89,0.696,0.082,"1.92",,,"正常"
"河北省","海河流域","龙王庙","2020-09-09 04:00:00",,13.2,8.25,9.52,,9.3,1.32,0.001,,,,,"维护"
"河北省","海河流域","刘家庄","2020-05-08 12:00:00","Ⅰ",17.9,8.13,14.9,515.6,5.7,1.1,0.062,0.015,"3.74",,,"正常"
"河北省","海河流域","岳城水库出口","2020-05-08 15:00:00","Ⅱ",20.7,8.13,7.69,638,4.8,2,0.118,0.012,"0.57",,,"正常"
"河北省","海河流域","曲周","2020-05-08 15:00:00","Ⅳ",20.9,7.43,4.98,619,33.2,4.02,0.27,0.152,"4.08",,,"正常"
"河北省","海河流域","沙阳","2020-04-17 13:19:00",,15,7.93,10.03,1038.4,14.4,6.28,0.129,0.068,"6.66",,,"停站"
"河北省","海河流域","艾辛庄","2020-05-08 15:00:00","Ⅲ",20.5,7.88,6.91,782.7,52.7,5.15,0.444,0.137,"4.70",,,"正常"
"河北省","海河流域","后西吴桥","2020-05-08 15:00:00","劣Ⅴ",18.9,7.58,8.39,497.7,545.2,10.08,6.83,0.739,"3.74",,,"正常"
"河北省","海河流域","码头(老)","2020-04-06 20:00:00",,15,7.84,8.87,1736.1,36.3,5.64,0.058,,,,,"维护"
"河北省","海河流域","安州","2020-05-08 15:00:00","劣Ⅴ",19.5,7.21,1.12,621.6,26,5.81,0.949,0.15,"4.36",,,"正常"
"河北省","海河流域","焦庄","2020-04-14 16:10:00",,33.6,7.19,0.12,569.6,17.1,3.41,0.944,0,"3.39",,,"停站"
"河北省","海河流域","北河店","2020-04-17 11:30:00",,5.4,7.81,10.14,373.8,3.6,1.34,0.044,0.028,"1.07",,,"停站"
"河北省","海河流域","白合","2020-05-08 15:00:00","Ⅰ",19.7,7.76,8.79,573.7,5.8,1.26,0.004,0.018,"5.03",,,"正常"
"河北省","海河流域","杜里村","2020-05-04 13:00:00",,11.9,7.84,10.63,452.7,1903,0,0.436,0.858,,,,"维护"
"河北省","海河流域","后城(老)","2020-05-08 12:00:00","Ⅲ",14.2,7.83,7.98,467.9,9.4,5.05,0.142,0.091,"5.31",,,"正常"
"河北省","海河流域","老鸦庄","2020-05-08 15:00:00","劣Ⅴ",22.1,9.61,28.33,545.4,6,6.23,0.012,0.091,"4.44",,,"正常"
"河北省","海河流域","温泉屯","2020-05-08 15:00:00","Ⅱ",17.3,8.53,8.65,1239.4,63,3.69,0.011,0.037,"2.98",,,"正常"
"河北省","海河流域","八号桥","2020-05-08 12:10:00","Ⅲ",16.8,7.91,8.52,1401,82.4,4.34,0.16,0.116,"3.10",,,"正常"
"河北省","海河流域","左卫桥","2020-05-08 15:00:00","Ⅲ",23.1,8.54,9.08,684.9,105,2.53,0.012,0.113,"4.98",,,"正常"
"河北省","海河流域","大杖子(老)","2020-04-14 16:00:00",,15.2,7.89,9.88,608.7,154.9,11.93,0.168,0.275,"5.37",,,"停站"
"河北省","海河流域","大桑园","2020-05-08 15:00:00","Ⅲ",17.8,8.07,7.23,713.1,7.6,4.2,0.145,0.033,"2.14",,,"正常"
"河北省","海河流域","墙子路","2020-05-08 15:00:00",,16.1,8.35,10.58,449.6,13.6,1.04,0.013,,"1.60",,,"维护"
"河北省","海河流域","偏桥子大桥","2020-05-08 15:00:00","Ⅲ",16.9,8.29,8.42,584.9,101.4,5.64,0.08,0.171,"6.45",,,"正常"
"河北省","海河流域","大杖子(二)","2020-05-08 15:00:00","Ⅱ",15,7.64,7.67,706.1,6.9,1.1,0.151,0,"2.01",,,"正常"
"河北省","海河流域","大杖子(一)","2020-05-08 15:00:00","Ⅲ",17.7,8.1,6.67,515.2,111.3,3.99,0.013,0.142,"5.85",,,"正常"
"河北省","海河流域","26#大桥","2020-05-08 15:00:00","Ⅲ",16.9,7.8,5.91,1601.6,15.2,2.39,0.142,0.037,"3.94",,,"正常"
"河北省","海河流域","郭家屯","2020-05-08 15:00:00","Ⅱ",15.6,8.33,8.79,341.6,49.5,3.99,0.005,0.056,"2.40",,,"正常"
"河北省","海河流域","上板城大桥","2020-05-08 15:00:00","Ⅲ",17.3,8.24,7.96,616.6,110.3,5.83,0.008,0.13,"6.57",,,"正常"
"河北省","海河流域","党坝","2020-05-08 15:00:00","Ⅱ",15,8.57,9.85,804,8.4,3.69,0.009,0.051,"6.98",,,"正常"
"河北省","海河流域","上二道河子","2020-05-08 15:00:00","Ⅰ",16.9,7.92,9.97,631.6,3.6,1.29,0.012,0,"4.43",,,"正常"
"河北省","海河流域","唐三营","2020-05-08 15:00:00","Ⅲ",13,8.31,9.86,572.4,12.1,4.68,0.277,0.091,"4.76",,,"正常"
"河北省","海河流域","李台","2020-05-08 15:00:00","Ⅲ",18,8.37,9.15,676.1,20.6,4.38,0.007,0.06,"4.03",,,"正常"
"河北省","辽河流域","甸子","2020-05-08 15:00:00",,15,8.9,18.68,389.2,12.7,2,,0.02,"4.40",,,"维护"
"河北省","海河流域","大口河口","2020-04-21 18:45:00",,5.1,8.26,13.85,14325.2,67.1,8.31,2.336,0.178,"6.00",,,"停站"
"河北省","海河流域","李家堡二","2020-01-05 20:16:00",,6.2,7.85,3.96,79634.7,64.2,11.88,5.906,0.323,"8.02",,,"停站"
"河北省","海河流域","王家摆(老)","2020-05-08 12:00:00",,20.4,7.88,8.27,1103.5,22,5.4,0.107,,,,,"维护"
"河北省","海河流域","三河东大桥(老)","2020-05-08 12:00:00","劣Ⅴ",20,9.26,11.44,774.5,11,8.18,0.033,0.085,"2.78",,,"正常"
"河北省","海河流域","大王务(老)","2020-05-08 12:00:00","劣Ⅴ",18.3,9.22,11.7,822.6,11.2,7.69,0.178,0.072,"6.45",,,"正常"
"河北省","海河流域","大套桥(老)","2020-05-08 12:00:00",,16,7.96,5.18,833.5,5.7,3.47,0.295,,,,,"维护"
"河北省","海河流域","大王务","2020-05-08 15:00:00","Ⅱ",17.5,8.07,8.28,416.8,7.9,3.37,0.003,0,"0.57",,,"正常"
"河北省","海河流域","王家摆","2020-05-08 15:00:00","Ⅴ",19,7.94,2.75,1144.5,20.8,4.59,0.119,0.16,"6.97",,,"正常"
"河北省","海河流域","吴村","2020-05-08 15:00:00","Ⅳ",20.3,8.2,4.41,881.4,7.2,6.51,0.493,0.115,"6.87",,,"正常"
"河北省","海河流域","台头","2020-05-08 15:00:00","Ⅴ",18.2,8.15,4.28,2627.5,20.4,10.09,0.341,0.091,"2.35",,,"正常"
"河北省","海河流域","秦营扬水站","2020-09-09 09:00:00",,3.1,8.05,12.19,1039.2,5,3.31,0.437,0.123,"10.13",,,"停站"
"河北省","海河流域","三河东大桥","2020-05-08 15:00:00","Ⅲ",19.7,8.3,9.14,744.2,10.2,4.4,0.09,0.055,"3.38",,,"正常"
"河北省","海河流域","老夏安公路","2020-05-08 15:00:00","Ⅳ",18.7,8.12,7.32,999.7,47.5,6.54,0.335,0.176,"5.29",,,"正常"
"河北省","海河流域","三小营","2020-05-08 08:00:00","劣Ⅴ",19.1,7.76,1.37,1076.7,6.7,5.17,0.308,0.292,"1.23",,,"正常"
"河北省","海河流域","小范桥","2020-05-06 14:36:00",,21.3,7.24,14.42,1031.2,17.5,0,0.018,0.035,"0.46",,,"停站"
"河北省","海河流域","大湖心","2020-05-08 15:00:00","Ⅲ",20.2,8.31,7.86,1401.6,53.1,5.57,0.013,0.026,"0.67",0.018,,"维护"
"河北省","海河流域","南张村","2020-05-08 15:00:00",,20,8.67,11.29,259.9,4.1,1.83,,0.011,"0.75",,,"维护"
"河北省","海河流域","南刘庄","2020-05-08 15:00:00","劣Ⅴ",20.5,7.4,1.41,727,7,5.32,0.592,0.158,"3.54",0.005,,"维护"
"河北省","海河流域","烧车淀","2020-05-08 15:00:00",,18.7,8.44,8.35,962.1,1.4,8.31,,0.032,"0.66",0.008,,"维护"
"河北省","海河流域","圈头","2020-05-08 15:00:00","Ⅳ",18.5,8.82,10.05,1270.6,2.2,7.93,0.017,0.038,"0.74",0.013,,"维护"
"河北省","海河流域","采蒲台","2020-05-08 15:00:00","Ⅳ",20.7,8.08,6.36,1434.9,4,6.91,0.0005,0.045,"0.52",0.014,,"维护"
"河北省","海河流域","光淀张庄","2020-05-08 15:00:00","Ⅳ",18.7,7.84,4.03,1132.8,1.1,8.26,0.036,0.037,"0.78",0.013,,"维护"
"山西省","黄河流域","温南社","2020-05-08 15:00:00","劣Ⅴ",21.3,7.5,2.15,1121.4,118.8,12.5,6.095,0.751,"8.88",,,"正常"
"山西省","黄河流域","上兰","2020-05-08 15:00:00",,12.2,8.46,9.95,789.9,4,1.18,0.008,,"2.39",,,"维护"
"山西省","黄河流域","汾河水库出口","2020-05-08 15:00:00","Ⅱ",17,8.6,10.43,738.8,5.8,2.35,0.003,0,"2.06",0.012,,"正常"
"山西省","海河流域","堡子湾","2020-05-08 15:00:00","Ⅳ",20.6,8.49,14.79,1040.8,23.2,3.57,0.308,0.246,"10.41",,,"正常"
"山西省","海河流域","南水芦","2020-05-08 15:00:00","Ⅱ",17.1,8.52,9.36,486.7,8.3,2.51,0.131,0.081,"4.63",,,"正常"
"山西省","海河流域","册田水库出口","2020-05-08 15:00:00","Ⅱ",15.5,8.17,6.99,1523.5,6,2.39,0.016,0.076,"1.55",,,"正常"
"山西省","海河流域","宣家塔","2020-05-08 15:00:00","Ⅲ",20.1,8.56,8.59,892.4,22.9,2.87,0.028,0.13,"4.99",,,"正常"
"山西省","海河流域","固定桥","2020-05-08 15:00:00","Ⅴ",22.2,8.18,7.09,1075.1,635,6.62,0.004,0.341,"4.23",,,"正常"
"山西省","海河流域","利仁皂","2020-05-08 14:00:00","Ⅲ",20.5,8.81,16.98,1660.7,18.8,5.05,0.017,0.101,"2.46",,,"正常"
"山西省","海河流域","闫家庄大桥","2020-05-08 15:00:00","Ⅲ",17.1,8.3,9.22,547.1,16.1,3.01,0.696,0.039,"4.44",,,"正常"
"山西省","海河流域","白羊墅","2020-05-08 15:00:00","Ⅴ",18.8,8.02,8.96,1444.8,35.4,7.51,0.997,0.343,"5.67",,,"正常"
"山西省","海河流域","王家庄","2020-05-08 15:00:00","Ⅱ",21.2,8.01,10.01,726.8,5.8,3.13,0.099,0.021,"3.98",,,"正常"
"山西省","海河流域","司徒桥","2020-04-21 18:14:00",,0,,,,,0,,0,"0",,,"维护"
"山西省","海河流域","关河水库出口","2020-04-24 16:00:00",,23.3,9,21.42,583.9,5.2,0,0.086,0.052,"0.81",,,"停站"
"山西省","海河流域","北寨","2020-04-30 16:00:00",,19.7,8.21,12.53,1229.1,91.4,8.11,0.347,0.143,"2.09",,,"停站"
"山西省","海河流域","后湾水库出口","2020-05-08 15:00:00","Ⅱ",16.3,8.03,7.27,415.6,27.9,3.6,0.062,0.03,"0.60",,,"正常"
"山西省","黄河流域","龙头","2020-05-08 15:00:00","Ⅱ",17.1,7.8,7.62,729.9,15.7,3.95,0.208,0.039,"1.43",,,"正常"
"山西省","黄河流域","拴驴泉","2020-05-08 15:00:00","Ⅰ",20.2,8.3,12.59,879.6,18.2,1.9,0.028,0.015,"3.23",,,"正常"
"山西省","黄河流域","张峰水库出口","2020-05-08 15:00:00","Ⅱ",17,7.8,6.4,347.4,2,1.13,0.021,0.017,"0.66",,,"正常"
"山西省","黄河流域","后寨","2020-05-08 15:00:00","Ⅱ",15.2,7.75,8.89,971.1,4.2,1.76,0.12,0.026,"5.32",,,"正常"
"山西省","海河流域","东榆林水库出口","2020-05-08 15:00:00","Ⅱ",17.7,8.19,6.63,765.5,19.8,3.83,0.015,0.069,"2.36",,,"正常"
"山西省","黄河流域","杀虎口","2020-05-08 15:00:00","Ⅱ",17.3,8.33,13.1,661.9,5.4,2.24,0.37,0.001,"5.91",,,"正常"
"山西省","海河流域","王寨村","2020-05-08 15:00:00","Ⅰ",16.3,7.88,8.84,436,9.4,0.88,0.017,0.014,"2.13",,,"正常"
"山西省","黄河流域","桑柳树","2020-05-08 15:00:00","劣Ⅴ",19.9,7.73,9.68,4916.5,22.6,13.51,2.953,0.197,"23.27",,,"正常"
"山西省","黄河流域","王庄桥南","2020-05-08 15:00:00","劣Ⅴ",21,7.79,6.75,1141.4,777.5,12.82,2.317,0.362,"6.43",,,"正常"
"山西省","黄河流域","郝村","2020-12-13 15:00:00",,9.4,8.21,11.47,954.6,37.5,2.48,0.149,0.031,"2.54",,,"停站"
"山西省","黄河流域","河津大桥","2020-05-08 12:00:00",,21,7.77,6.11,1295.4,471.3,10.05,0.52,,,,,"维护"
"山西省","黄河流域","龙门","2020-05-08 15:00:00","Ⅱ",19.4,8.12,9.62,830.2,126.5,1.91,0.005,0.048,"1.56",,,"正常"
"山西省","黄河流域","张留庄","2020-05-08 15:00:00","Ⅴ",21,8,3.27,3486.6,95.1,11.37,1.622,0,"7.70",,,"正常"
"山西省","黄河流域","上亳城","2020-05-08 15:00:00","Ⅲ",19.7,7.88,8.32,862.2,36,4.33,0.096,0.087,"3.15",,,"正常"
"山西省","黄河流域","西曲村","2020-05-08 15:00:00","劣Ⅴ",21.3,7.38,2.22,717.8,99.9,9.79,3.176,0.473,"5.12",,,"正常"
"山西省","海河流域","梵王寺","2020-05-08 15:00:00","Ⅱ",15.9,8.04,9.8,761.6,1.4,0.91,0.215,0,"2.58",,,"正常"
"山西省","黄河流域","万家寨水库","2020-05-08 12:00:00","Ⅱ",19.3,8.69,9.54,759.7,11.9,3.55,0.29,0.016,"4.66",,,"正常"
"山西省","海河流域","代县桥","2020-05-08 15:00:00","Ⅲ",22.4,7.86,7.84,682.1,51.4,1.98,0.018,0.11,"5.26",,,"正常"
"山西省","海河流域","定襄桥","2020-05-08 15:00:00","劣Ⅴ",24.1,7.68,1.74,965.3,70.7,8.43,14.157,1.021,"15.89",,,"正常"
"山西省","海河流域","南庄","2020-05-08 15:00:00","Ⅱ",17.4,8.15,10.66,492.3,2.9,1.13,0.233,0.03,"4.21",,,"正常"
"山西省","海河流域","坪上桥","2020-05-08 15:00:00",,15,8.35,10.46,447.2,2.4,0.74,0.008,,"3.31",,,"维护"
"山西省","黄河流域","河西村","2020-05-08 15:00:00","Ⅱ",18.3,8.19,7.29,727.5,31.6,2.27,0.033,0.04,"2.40",,,"正常"
"山西省","黄河流域","上平望","2020-05-08 15:00:00","Ⅴ",21.5,7.4,2.94,1152.2,342.8,12.46,1.23,0.361,"5.54",,,"正常"
"山西省","黄河流域","黑城村","2020-05-08 15:00:00","Ⅳ",20.1,8.12,8.53,859.6,119.8,6.12,0.5,0.126,"2.71",,,"正常"
"山西省","黄河流域","曲立","2020-05-08 15:00:00","Ⅲ",17,8.43,7.99,617.8,15.3,1.61,0.169,0.105,"2.53",,,"正常"
"山西省","黄河流域","裴家川口","2020-05-08 15:00:00",,23.7,8.65,7.94,521.6,22,2.32,0.002,,"3.30",,,"维护"
"山西省","黄河流域","碛口","2020-05-08 15:00:00","Ⅳ",24,8.8,15.23,1131.4,16.9,5.22,1.191,0.171,"5.49",,,"正常"
"山西省","黄河流域","裴沟","2020-05-08 15:00:00","劣Ⅴ",20.8,8.42,7.53,792.2,65.3,5.68,2.732,0.289,"6.23",,,"正常"
"山西省","黄河流域","两河口桥","2020-05-08 15:00:00","劣Ⅴ",21,7.81,6.31,818.4,428.5,8.57,2.322,0.466,"6.14",,,"正常"
"山西省","黄河流域","碧村","2020-05-08 15:00:00","劣Ⅴ",22,8.59,9,1097.2,21,5.65,0.005,0.544,"4.75",,,"正常"
"山西省","黄河流域","北峪口","2020-05-08 15:00:00",,18.8,8.39,12.32,641.7,21.6,1.77,0.017,,"2.03",,,"维护"
"山西省","黄河流域","南姚","2020-05-08 15:00:00","劣Ⅴ",20,8.12,6.44,1289.1,201.1,9.71,6.152,0.492,"10.74",,,"正常"
"内蒙古自治区","黄河流域","头道拐","2020-05-08 15:00:00",,21.5,8.35,7.16,,,0,0.103,0.025,"2.53",,,"维护"
"内蒙古自治区","黄河流域","喇嘛湾","2020-05-08 12:00:00","Ⅲ",20.6,8.09,5.7,664.1,528.6,3.61,0.195,0.088,"3.46",,,"正常"
"内蒙古自治区","黄河流域","大入黄口","2020-05-08 14:00:00",,23.7,7.6,6.59,,55.7,0,,0,"0",,,"维护"
"内蒙古自治区","黄河流域","画匠营子","2020-05-08 12:00:00",,13.5,7.85,8.6,835.6,740.3,4.02,0.042,,,,,"维护"
"内蒙古自治区","黄河流域","磴口","2020-05-08 14:00:00","Ⅲ",16.8,8.05,8.56,917.9,588.8,4.45,0.467,0.114,"3.87",,,"正常"
"内蒙古自治区","黄河流域","海勃湾","2020-05-08 12:05:00",,18,7.75,7.88,634.8,144.3,1.66,0.14,,,,,"维护"
"内蒙古自治区","辽河流域","二道河子","2020-04-23 09:15:00",,9.4,8.16,9.63,587,24,5.8,0.14,0.075,"0.64",,,"停站"
"内蒙古自治区","西北诸河","贝尔湖","2020-05-08 12:00:00",,13.4,9.07,,383,9.6,6.2,0.38,0.017,"0.61",,,"维护"
"内蒙古自治区","松花江流域","拴马桩(甘珠花)","2020-05-08 12:00:00","Ⅴ",13.9,9,14.44,1881.2,16.1,8.65,0.113,0.158,"1.68",0.019,,"维护"
